question,answer
What does home insurance typically cover?,"Home insurance generally covers damage to your home's structure, personal belongings, liability for injuries on your property, and additional living expenses if you're temporarily displaced by a covered event."
How do I add a vehicle to my auto policy?,"To add a vehicle, provide the VIN, make, model, and year to your policy specialist. Your premium will be recalculated to reflect the added vehicle's coverage."
How do I update my mailing address or contact info?,"You can update your contact information through your online account or by asking a support agent to update it on your behalf after verifying your identity."
What is an endorsement?,"An endorsement is an amendment to your policy that changes its terms, such as adding a driver, increasing coverage limits, or adding a rider -- without requiring a brand-new policy."
Can I cancel my policy at any time?,"Yes, you can cancel your policy at any time by contacting support. Depending on your billing frequency, you may be entitled to a prorated refund for the unused portion of your premium."
What is a policy number and where do I find it?,"Your policy number is the unique identifier for your policy (e.g., POL000123). It's on your policy documents, your billing statements, and your online account dashboard."
How do I know if my claim payment has been sent?,"Once a claim is marked 'paid' in our system, the settlement has been issued via your selected payment method. Processing to your account can take 3-5 additional business days depending on your bank."
What is the grace period for a late premium payment?,"Most policies include a short grace period (commonly 10-30 days depending on state and policy type) after the due date before a policy lapses for non-payment. Check your policy documents for your specific grace period."
Does my auto policy cover a rental I'm driving on vacation?,"Coverage for a rented vehicle depends on your policy's terms; many auto policies extend liability and physical damage coverage to a rental car used for personal travel, but you should confirm with a policy specialist before you travel."
What is the difference between actual cash value and replacement cost coverage?,"Actual cash value pays what your damaged property was worth at the time of loss (after depreciation). Replacement cost coverage pays what it costs to replace the property with a new item of similar kind, without deducting for depreciation."
How do I dispute a claim decision?,"You can request a formal review by submitting additional documentation or a written appeal to the claims department within the timeframe stated in your denial letter. A human claims specialist will review the appeal."
Is roadside assistance included in my auto policy?,"Roadside assistance is typically an optional add-on rather than a standard feature. Check your policy declarations page or ask a policy specialist to confirm whether it's included on your policy."
What documentation do I need to file a claim?,"Common documentation includes photos of the damage, a police or incident report (if applicable), repair estimates, and your policy number. Your claims specialist will let you know if anything additional is needed for your specific claim."
Can I bundle my auto and home insurance?,"Yes, bundling multiple policies (such as auto and home) with the same insurer often qualifies you for a multi-policy discount. Ask a policy specialist for a bundled quote."
What is a beneficiary on a life insurance policy?,"A beneficiary is the person or entity you designate to receive the death benefit from your life insurance policy. You can typically update your beneficiaries at any time by contacting support."
How is my auto insurance premium calculated?,"Auto premiums are based on factors such as your driving history, vehicle make/model/year, coverage limits and deductibles, location, and, in many states, credit-based insurance score."
What should I do immediately after a car accident?,"Make sure everyone is safe and call emergency services if needed, exchange information with the other driver, take photos of the scene and damage, and report the incident to your insurer as soon as possible to begin the claims process."
Will filing a claim raise my premium?,"It can, particularly for at-fault claims; the impact depends on your insurer's rating rules, your claims history, and your state's regulations. Not-at-fault claims often have little to no impact."
What is a co-payment on an insurance policy?,"A co-payment (or co-pay) is a fixed amount you pay for a covered service, with the insurer paying the remainder, most commonly seen on health-related riders rather than standard property/casualty policies."
How do I talk to a human representative?,"If you'd like to speak with a human representative at any point, just let us know -- we'll escalate your conversation and a support specialist will follow up with you shortly."
What is the difference between an insurance agent and a claims adjuster?,"An insurance agent helps you select and manage policies (coverage, billing, endorsements). A claims adjuster investigates and evaluates claims after a loss to determine what the policy will pay."
